,aqi,pm10,pm25,o3,timestamp_local,so2,no2,timestamp_utc,datetime,co,ts,city,latitude,longitude,timezone
0,305.6,2939.162,1171.3058,61.694355,2022-10-16T14:00:00,0.09685755,12.467029,2022-10-16T09:00:00,2022-10-16:09,603.85596,1665910800,Pitampura,28.7041,77.1025,Asia/Kolkata
1,207.8,1961.1989,781.8965,48.162918,2022-10-16T15:00:00,0.092200935,8.314314,2022-10-16T10:00:00,2022-10-16:10,467.6589,1665914400,Pitampura,28.7041,77.1025,Asia/Kolkata
2,110.4,983.15247,392.41528,35.060635,2022-10-16T16:00:00,0.09033829,4.1621356,2022-10-16T11:00:00,2022-10-16:11,331.46185,1665918000,Pitampura,28.7041,77.1025,Asia/Kolkata
3,12.0,5.0489197,2.8475888,22.351742,2022-10-16T17:00:00,0.088475645,0.011379598,2022-10-16T12:00:00,2022-10-16:12,195.26482,1665921600,Pitampura,28.7041,77.1025,Asia/Kolkata
4,11.0,4.923723,2.692287,23.60344,2022-10-16T18:00:00,0.08754432,0.01573062,2022-10-16T13:00:00,2022-10-16:13,195.26482,1665925200,Pitampura,28.7041,77.1025,Asia/Kolkata
5,12.0,4.81858,2.5859377,25.03395,2022-10-16T19:00:00,0.08940697,0.018073479,2022-10-16T14:00:00,2022-10-16:14,193.59589,1665928800,Pitampura,28.7041,77.1025,Asia/Kolkata
6,12.0,4.809494,2.5754502,26.464462,2022-10-16T20:00:00,0.09126961,0.019077562,2022-10-16T15:00:00,2022-10-16:15,193.59589,1665932400,Pitampura,28.7041,77.1025,Asia/Kolkata
7,13.0,4.7789297,2.5434916,27.537346,2022-10-16T21:00:00,0.09033829,0.019412255,2022-10-16T16:00:00,2022-10-16:16,193.59589,1665936000,Pitampura,28.7041,77.1025,Asia/Kolkata
8,13.0,4.6232557,2.4446077,27.894974,2022-10-16T22:00:00,0.084750354,0.020081643,2022-10-16T17:00:00,2022-10-16:17,195.26482,1665939600,Pitampura,28.7041,77.1025,Asia/Kolkata
9,13.0,4.302968,2.2390666,28.252602,2022-10-16T23:00:00,0.07543713,0.02142042,2022-10-16T18:00:00,2022-10-16:18,195.26482,1665943200,Pitampura,28.7041,77.1025,Asia/Kolkata
10,13.0,3.9338527,2.014052,28.252602,2022-10-17T00:00:00,0.06519258,0.022759195,2022-10-16T19:00:00,2022-10-16:19,196.93375,1665946800,Pitampura,28.7041,77.1025,Asia/Kolkata
11,13.0,3.643641,1.8388455,28.252602,2022-10-17T01:00:00,0.056345016,0.022759195,2022-10-16T20:00:00,2022-10-16:20,196.93375,1665950400,Pitampura,28.7041,77.1025,Asia/Kolkata
12,13.0,3.4102376,1.7205085,27.537346,2022-10-17T02:00:00,0.047963113,0.022089807,2022-10-16T21:00:00,2022-10-16:21,198.60268,1665954000,Pitampura,28.7041,77.1025,Asia/Kolkata
13,13.0,3.2547617,1.651474,27.179718,2022-10-17T03:00:00,0.041909516,0.02142042,2022-10-16T22:00:00,2022-10-16:22,198.60268,1665957600,Pitampura,28.7041,77.1025,Asia/Kolkata
14,12.0,3.120557,1.5891461,26.106834,2022-10-17T04:00:00,0.037718564,0.021085724,2022-10-16T23:00:00,2022-10-16:23,198.60268,1665961200,Pitampura,28.7041,77.1025,Asia/Kolkata
15,12.0,2.981735,1.522677,25.749207,2022-10-17T05:00:00,0.034924597,0.020751031,2022-10-17T00:00:00,2022-10-17:00,198.60268,1665964800,Pitampura,28.7041,77.1025,Asia/Kolkata
16,12.0,2.806892,1.4347696,25.749207,2022-10-17T06:00:00,0.031199306,0.020081643,2022-10-17T01:00:00,2022-10-17:01,200.2716,1665968400,Pitampura,28.7041,77.1025,Asia/Kolkata
17,12.0,2.664227,1.3499122,25.749207,2022-10-17T07:00:00,0.02863817,0.015061232,2022-10-17T02:00:00,2022-10-17:02,200.2716,1665972000,Pitampura,28.7041,77.1025,Asia/Kolkata
18,12.0,2.591134,1.319584,25.391579,2022-10-17T08:00:00,0.027008355,0.011379598,2022-10-17T03:00:00,2022-10-17:03,200.2716,1665975600,Pitampura,28.7041,77.1025,Asia/Kolkata
19,11.0,2.5996187,1.3271515,24.676323,2022-10-17T09:00:00,0.026309863,0.010375516,2022-10-17T04:00:00,2022-10-17:04,198.60268,1665979200,Pitampura,28.7041,77.1025,Asia/Kolkata
