,AQI,pm10,pm25,o3,Date-Time,SO2,no2,timestamp_utc,datetime,co,ts
0,27,9.37449,6.4264,42.5577,2022-09-20T18:00:00,10.9673,13.195,2022-09-20T13:00:00,2022-09-20:13,263.691,1663678800
1,27.6,9.54953,6.63634,36.5496,2022-09-20T19:00:00,18.8351,16.3823,2022-09-20T14:00:00,2022-09-20:14,265.694,1663682400
2,31.8,10.7876,7.54786,26.8221,2022-09-20T20:00:00,28.8486,21.5575,2022-09-20T15:00:00,2022-09-20:15,263.691,1663686000
3,37,12.564,8.77624,20.5636,2022-09-20T21:00:00,30.9944,23.9909,2022-09-20T16:00:00,2022-09-20:16,263.691,1663689600
4,38,13.2612,9.21442,21.9941,2022-09-20T22:00:00,26.4645,21.2491,2022-09-20T17:00:00,2022-09-20:17,267.029,1663693200
5,38,13.0158,9.03276,23.2458,2022-09-20T23:00:00,21.4577,19.0213,2022-09-20T18:00:00,2022-09-20:18,267.029,1663696800
6,35,12.2354,8.43435,23.2458,2022-09-21T00:00:00,16.4509,16.965,2022-09-20T19:00:00,2022-09-20:19,270.367,1663700400
7,32,11.2213,7.59829,23.9611,2022-09-21T01:00:00,10.4904,13.7091,2022-09-20T20:00:00,2022-09-20:20,277.042,1663704000
8,26,9.69219,6.33785,25.034,2022-09-21T02:00:00,4.94719,10.1104,2022-09-20T21:00:00,2022-09-20:21,287.056,1663707600
9,21,8.04702,5.09203,25.3916,2022-09-21T03:00:00,1.80304,7.9684,2022-09-20T22:00:00,2022-09-20:22,300.407,1663711200
10,21,8.01025,5.03026,24.3187,2022-09-21T04:00:00,1.05798,7.9684,2022-09-20T23:00:00,2022-09-20:23,317.097,1663714800
11,23,8.72344,5.56192,21.1,2022-09-21T05:00:00,1.04308,8.48249,2022-09-21T00:00:00,2022-09-21:00,323.772,1663718400
12,23,8.66098,5.52458,17.345,2022-09-21T06:00:00,1.01328,7.9684,2022-09-21T01:00:00,2022-09-21:01,310.421,1663722000
13,21,8.45587,5.03879,17.1661,2022-09-21T07:00:00,0.946224,6.76885,2022-09-21T02:00:00,2022-09-21:02,293.732,1663725600
14,18,7.81149,4.39778,22.7094,2022-09-21T08:00:00,1.04308,5.1409,2022-09-21T03:00:00,2022-09-21:03,277.042,1663729200
15,16,6.70979,3.79795,35.4052,2022-09-21T09:00:00,2.80142,4.41261,2022-09-21T04:00:00,2022-09-21:04,253.677,1663732800
16,22,7.82014,4.7856,47.2069,2022-09-21T10:00:00,5.96046,4.62681,2022-09-21T05:00:00,2022-09-21:05,240.326,1663736400
17,30,10.5571,7.27165,57.2205,2022-09-21T11:00:00,10.848,5.56931,2022-09-21T06:00:00,2022-09-21:06,236.988,1663740000
18,30,9.83652,7.22558,57.9357,2022-09-21T12:00:00,12.6362,6.42613,2022-09-21T07:00:00,2022-09-21:07,226.974,1663743600
19,28,7.84282,6.07336,60.0815,2022-09-21T13:00:00,11.5633,5.31226,2022-09-21T08:00:00,2022-09-21:08,220.299,1663747200
20,31,7.39532,5.99908,67.9493,2022-09-21T14:00:00,9.65595,4.15556,2022-09-21T09:00:00,2022-09-21:09,220.299,1663750800
21,36,7.95217,6.62517,77.2476,2022-09-21T15:00:00,7.21216,3.17022,2022-09-21T10:00:00,2022-09-21:10,223.637,1663754400
22,38,8.21785,6.77151,81.5392,2022-09-21T16:00:00,5.06639,3.21306,2022-09-21T11:00:00,2022-09-21:11,223.637,1663758000
23,36,6.83031,5.4402,77.9629,2022-09-21T17:00:00,3.06964,3.59863,2022-09-21T12:00:00,2022-09-21:12,226.974,1663761600
24,34,6.88565,5.18275,72.9561,2022-09-21T18:00:00,2.44379,5.1409,2022-09-21T13:00:00,2022-09-21:13,243.664,1663765200
25,30,8.30098,5.79122,64.373,2022-09-21T19:00:00,2.35438,7.28294,2022-09-21T14:00:00,2022-09-21:14,270.367,1663768800
26,27,9.75138,6.40584,56.5052,2022-09-21T20:00:00,2.23517,9.85339,2022-09-21T15:00:00,2022-09-21:15,287.056,1663772400
27,32,11.8584,7.70919,47.9221,2022-09-21T21:00:00,5.36442,13.7091,2022-09-21T16:00:00,2022-09-21:16,307.083,1663776000
28,37,13.5171,8.85303,42.2001,2022-09-21T22:00:00,8.70228,15.4227,2022-09-21T17:00:00,2022-09-21:17,320.435,1663779600
29,37,13.6275,8.92867,40.4119,2022-09-21T23:00:00,8.22544,14.2232,2022-09-21T18:00:00,2022-09-21:18,323.772,1663783200
30,36,13.0179,8.62094,42.9153,2022-09-22T00:00:00,5.90086,11.9954,2022-09-21T19:00:00,2022-09-21:19,320.435,1663786800
31,37,13.034,8.80017,46.4916,2022-09-22T01:00:00,3.60608,9.68203,2022-09-21T20:00:00,2022-09-21:20,323.772,1663790400
32,37,13.2495,8.95568,47.9221,2022-09-22T02:00:00,2.17557,8.05408,2022-09-21T21:00:00,2022-09-21:21,327.11,1663794000
33,37,13.4548,8.88712,45.7764,2022-09-22T03:00:00,1.57952,7.36862,2022-09-21T22:00:00,2022-09-21:22,,1663797600
34,35,13.3426,8.43524,40.4119,2022-09-22T04:00:00,1.3113,7.11158,2022-09-21T23:00:00,2022-09-21:23,,1663801200
35,31,12.2467,7.43483,33.2594,2022-09-22T05:00:00,1.14739,6.68317,2022-09-22T00:00:00,2022-09-22:00,,1663804800
36,26,10.5974,6.32071,27.895,2022-09-22T06:00:00,1.13249,6.25476,2022-09-22T01:00:00,2022-09-22:01,,1663808400
37,23,9.34391,5.52985,25.034,2022-09-22T07:00:00,1.16229,5.82635,2022-09-22T02:00:00,2022-09-22:02,,1663812000
38,21,8.4911,5.00993,25.3916,2022-09-22T08:00:00,1.35601,4.96954,2022-09-22T03:00:00,2022-09-22:03,,1663815600
39,18,7.51898,4.42993,28.2526,2022-09-22T09:00:00,2.05636,4.71249,2022-09-22T04:00:00,2022-09-22:04,,1663819200
40,19,7.65683,4.54994,31.8289,2022-09-22T10:00:00,2.35438,4.45545,2022-09-22T05:00:00,2022-09-22:05,,1663822800
