,wind_cdir,rh,pod,timestamp_utc,pres,solar_rad,ozone,weather,wind_gust_spd,timestamp_local,snow_depth,clouds,ts,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,snow,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,datetime,temp,ghi,clouds_mid,clouds_low
0,SSW,71,d,2022-09-24T12:00:00,1003.5,94.8313,288.8,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",2.53,2022-09-24T08:00:00,0,70,1664020800,1.4,0,south-southwest,1021,479.47,7.4,0,0.8,197,0,0,22.4,53.07,12.6,2022-09-24:12,12.6,129.49,70,0
1,SSW,64,d,2022-09-24T13:00:00,1003.5,112.511,289.3,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",2.03,2022-09-24T09:00:00,0,100,1664024400,0.54,0,south-southwest,1021.5,691.57,7.2,0,0.7,212,0,0,26.096,79.74,13.9,2022-09-24:13,13.9,327.71,100,0
2,S,56,d,2022-09-24T14:00:00,1003,390.284,288.8,"{'icon': 'c03d', 'code': 803, 'description': 'Broken clouds'}",3.27,2022-09-24T10:00:00,0,68,1664028000,1.75,0,south,1021,796.6,6.9,0,1.8,176,0,0,31.888,96.26,15.6,2022-09-24:14,15.6,515.25,68,0
3,S,48,d,2022-09-24T15:00:00,1002.5,666.909,288.8,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",5.29,2022-09-24T11:00:00,0,4,1664031600,2.79,0,south,1020.5,855.24,6.8,0,4.7,180,0,0,38.4,106.83,17.9,2022-09-24:15,17.9,666.92,4,1
4,S,42,d,2022-09-24T16:00:00,1002,766.745,290,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",4.76,2022-09-24T12:00:00,0,3,1664035200,3.58,0,south,1019.5,886.33,6.4,0,6,180,0,0,0.45,112.9,18.8,2022-09-24:16,19.7,766.75,3,1
5,S,37,d,2022-09-24T17:00:00,1000.5,794.31,289.5,"{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'}",5.91,2022-09-24T13:00:00,0,29,1664038800,3.86,0,south,1018.5,897.09,5.8,0,5.3,178,0,0,0.513,115.09,20.2,2022-09-24:17,21,805.08,29,0
6,S,33,d,2022-09-24T18:00:00,999,191.402,289.8,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",5.07,2022-09-24T14:00:00,0,100,1664042400,3.54,0,south,1017.5,889.64,4.8,0,1.9,180,0,0,0.568,113.57,20.9,2022-09-24:18,21.8,778.32,100,0
7,S,29,d,2022-09-24T19:00:00,998.5,177.115,290,"{'icon': 'c04d', 'code': 804, 'description': 'Overcast clouds'}",4.99,2022-09-24T15:00:00,0,100,1664046000,3.63,0,south,1016,862.53,4,0,1.6,176,0,0,0.632,108.22,22.1,2022-09-24:19,23,688.95,100,19
8,S,26,d,2022-09-24T20:00:00,998,528.792,290.3,"{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'}",5.76,2022-09-24T16:00:00,0,37,1664049600,4.14,0,south,1015,809.67,3.1,0,2.7,177,0,0,0.682,98.53,22.9,2022-09-24:20,23.8,545.5,37,2
9,S,26,d,2022-09-24T21:00:00,996.5,362.744,290.5,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",6.17,2022-09-24T17:00:00,0,4,1664053200,4.3,0,south,1014.5,715.27,3.4,0,2.2,183,0,0,0.693,83.23,23.2,2022-09-24:21,24,362.75,4,0
10,S,27,d,2022-09-24T22:00:00,996,163.67,290.8,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",6.56,2022-09-24T18:00:00,0,0,1664056800,4.05,0,south,1014.5,531.41,3.4,0,1.7,178,0,0,0.678,58.95,22.6,2022-09-24:22,23.5,163.67,0,0
11,SSE,31,d,2022-09-24T23:00:00,996,12.01,291.3,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",5.02,2022-09-24T19:00:00,0,0,1664060400,2.62,0,south-southeast,1014,29.01,3.2,0,1.5,161,0,0,0.615,8.87,19.9,2022-09-24:23,20.9,3.14,0,0
12,SSE,35,n,2022-09-25T00:00:00,996.5,0,293.3,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",5.92,2022-09-24T20:00:00,0,1,1664064000,2.28,0,south-southeast,1014,0,3,0,0,166,0,0,0.551,0,17.6,2022-09-25:00,18.8,0,0,1
13,S,38,n,2022-09-25T01:00:00,997,0,296,"{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'}",5.03,2022-09-24T21:00:00,0,21,1664067600,1.41,0,south,1013.5,0,2.9,0,0,173,0,0,0.51,0,17.3,2022-09-25:01,17.3,0,4,21
14,E,41,n,2022-09-25T02:00:00,995.5,0,297.3,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",3.13,2022-09-24T22:00:00,0,84,1664071200,1.27,0,east,1013.5,0,3.3,0,0,90,0,0,0.477,0,16.6,2022-09-25:02,16.6,0,0,84
15,SSE,43,n,2022-09-25T03:00:00,995,0,299.5,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",4.33,2022-09-24T23:00:00,0,3,1664074800,1.68,0,south-southeast,1013,0,3.5,0,0,149,0,0,0.454,0,16.1,2022-09-25:03,16.1,0,0,3
16,S,47,n,2022-09-25T04:00:00,994.5,0,299.5,"{'icon': 'c01n', 'code': 800, 'description': 'Clear Sky'}",4.61,2022-09-25T00:00:00,0,1,1664078400,1.81,0,south,1012.5,0,4,0,0,178,0,0,40.48,0,15.3,2022-09-25:04,15.3,0,0,1
