,wind_cdir,rh,pod,timestamp_utc,pres,solar_rad,ozone,weather,wind_gust_spd,timestamp_local,snow_depth,clouds,ts,wind_spd,pop,wind_cdir_full,slp,dni,dewpt,snow,uv,wind_dir,clouds_hi,precip,vis,dhi,app_temp,datetime,temp,ghi,clouds_mid,clouds_low
0,WSW,72,n,2022-09-21T11:00:00,998,0,292.3,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",1.91,2022-09-21T07:00:00,0,3,1663758000,1.45,0,west-southwest,1015,0,10.4,0,0,251,0,0,21.6,0,15.5,2022-09-21:11,15.5,0,0,3
1,SSW,72,d,2022-09-21T12:00:00,998.5,133.678,291.5,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",2.09,2022-09-21T08:00:00,0,0,1663761600,1.44,0,south-southwest,1015.5,492.86,10.5,0,1.6,206,0,0,22.192,54.55,15.5,2022-09-21:12,15.5,137.95,0,0
2,SSW,68,d,2022-09-21T13:00:00,998.5,325.186,290.5,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",3.47,2022-09-21T09:00:00,0,0,1663765200,0.44,0,south-southwest,1015.5,697.64,13.3,0,2.2,209,0,0,24.688,80.66,19.1,2022-09-21:13,19.4,337.5,0,0
3,SSW,52,d,2022-09-21T14:00:00,998,507.184,291,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",3.17,2022-09-21T10:00:00,0,0,1663768800,1.52,0,south-southwest,1015.5,800.34,13.1,0,3.4,209,0,0,36.672,96.98,23.3,2022-09-21:14,23.5,525.96,0,0
4,S,45,d,2022-09-21T15:00:00,997.5,654.868,290.8,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",3.86,2022-09-21T11:00:00,0,4,1663772400,2.28,0,south,1015.5,858.04,12.9,0,4.8,174,15,0,43.584,107.46,25.5,2022-09-21:15,25.7,678.6,0,0
5,S,40,d,2022-09-21T16:00:00,997,746.159,289.8,"{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'}",3.75,2022-09-21T12:00:00,0,25,1663776000,2.14,0,south,1014.5,888.82,12.7,0,5.2,188,100,0,0.487,113.52,27.3,2022-09-21:16,27.5,779.49,0,0
6,S,35,d,2022-09-21T17:00:00,996.5,784.731,290,"{'icon': 'c02d', 'code': 802, 'description': 'Scattered clouds'}",3.79,2022-09-21T13:00:00,0,25,1663779600,1.94,0,south,1013.5,899.67,12.2,0,5.7,170,100,0,0.543,115.74,28.4,2022-09-21:17,29.2,818.96,0,0
7,SSE,31,d,2022-09-21T18:00:00,995.5,764.898,289.8,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",4.17,2022-09-21T14:00:00,0,19,1663783200,2.33,0,south-southeast,1013,892.69,11.6,0,5.6,157,77,0,0.601,114.3,29.5,2022-09-21:18,30.7,793.33,0,0
8,SSE,28,d,2022-09-21T19:00:00,995,683.028,289,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",4.93,2022-09-21T15:00:00,0,0,1663786800,2.76,0,south-southeast,1012,866.56,10.9,0,5.3,160,0,0,0.645,109.1,30.2,2022-09-21:19,31.6,704.96,0,0
9,SSE,28,d,2022-09-21T20:00:00,994,544.455,288.8,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",5.15,2022-09-21T16:00:00,0,0,1663790400,3.31,0,south-southeast,1011.5,815.56,11.3,0,3.7,162,0,0,0.651,99.64,30.7,2022-09-21:20,32.1,562.22,0,0
10,SSE,29,d,2022-09-21T21:00:00,992.5,367.307,288.5,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",5.74,2022-09-21T17:00:00,0,0,1663794000,4.13,0,south-southeast,1010.5,725.01,11.6,0,2.4,160,0,0,0.633,84.75,30.5,2022-09-21:21,31.8,379.6,0,0
11,SSE,30,d,2022-09-21T22:00:00,992,173.69,287.5,"{'icon': 'c01d', 'code': 800, 'description': 'Clear Sky'}",6.83,2022-09-21T18:00:00,0,0,1663797600,3.83,0,south-southeast,1011,551.58,11.4,0,1.7,161,0,0,0.626,61.34,29.7,2022-09-21:22,31,179.38,0,0
12,SE,34,d,2022-09-21T23:00:00,993,24.7643,287,"{'icon': 'c02d', 'code': 801, 'description': 'Few clouds'}",4.79,2022-09-21T19:00:00,0,9,1663801200,1.75,0,southeast,1010.5,87.77,10.6,0,1.4,145,36,0,0.565,15.47,27.2,2022-09-21:23,27.9,9.75,0,0
13,S,38,n,2022-09-22T00:00:00,993,0,286.8,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",4.99,2022-09-21T20:00:00,0,9,1663804800,1.38,0,south,1010.5,0,10,0,0,189,36,0,0.512,0,24.9,2022-09-22:00,25.3,0,0,0
14,NW,40,n,2022-09-22T01:00:00,993,0,286.3,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",1.2,2022-09-21T21:00:00,0,5,1663808400,0.89,0,northwest,1010,0,9.6,0,0,311,20,0,0.491,0,23.5,2022-09-22:01,24,0,0,0
15,SSE,42,n,2022-09-22T02:00:00,992.5,0,286.3,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",2.98,2022-09-21T22:00:00,0,100,1663812000,1.58,0,south-southeast,1009.5,0,9.4,0,0,159,100,0,0.458,0,22.4,2022-09-22:02,23,0,100,0
16,S,46,n,2022-09-22T03:00:00,992,0,286.3,"{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'}",5.22,2022-09-21T23:00:00,0,25,1663815600,2.22,0,south,1009.5,0,10.1,0,0,183,86,0,41.984,0,21.7,2022-09-22:03,22.2,0,0,25
17,SSE,47,n,2022-09-22T04:00:00,992,0,286.5,"{'icon': 'c02n', 'code': 802, 'description': 'Scattered clouds'}",3.78,2022-09-22T00:00:00,0,39,1663819200,1.25,0,south-southeast,1009,0,10.3,0,0,154,0,0,41.088,0,21.6,2022-09-22:04,22.1,0,0,39
18,SSE,49,n,2022-09-22T05:00:00,991.5,0,285.3,"{'icon': 'c03n', 'code': 803, 'description': 'Broken clouds'}",4.66,2022-09-22T01:00:00,0,55,1663822800,2.24,0,south-southeast,1008.5,0,10.5,0,0,167,0,0,38.976,0,21.2,2022-09-22:05,21.7,0,55,1
19,SE,52,n,2022-09-22T06:00:00,991,0,284.5,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",3.11,2022-09-22T02:00:00,0,15,1663826400,2.02,0,southeast,1008,0,10.9,0,0,142,12,0,35.584,0,20.6,2022-09-22:06,21.1,0,0,15
20,S,54,n,2022-09-22T07:00:00,991,0,283.8,"{'icon': 'c02n', 'code': 801, 'description': 'Few clouds'}",2.6,2022-09-22T03:00:00,0,12,1663830000,1.25,0,south,1007.5,0,11,0,0,175,46,0,34.272,0,20.2,2022-09-22:07,20.7,0,0,0
21,S,55,n,2022-09-22T08:00:00,990.5,0,283.8,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",3.38,2022-09-22T04:00:00,0,100,1663833600,0.92,0,south,1006.5,0,11,0,0,181,100,0,33.088,0,19.8,2022-09-22:08,20.3,0,100,0
22,SSE,58,n,2022-09-22T09:00:00,989.5,0,286.3,"{'icon': 'c04n', 'code': 804, 'description': 'Overcast clouds'}",3.88,2022-09-22T05:00:00,0,100,1663837200,2.14,0,south-southeast,1006,0,11.5,0,0,158,100,0,31.088,0,19.6,2022-09-22:09,20,0,100,0
